LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
60m         Normal    Scheduled           pod/limitrange-check                   Successfully assigned dso202-practical-01/limitrange-check to worker-node-1
60m         Normal    Pulled              pod/limitrange-check                   Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
60m         Normal    Created             pod/limitrange-check                   Container created
60m         Normal    Started             pod/limitrange-check                   Container started
59m         Normal    Killing             pod/limitrange-check                   Stopping container limitrange-check
58m         Normal    Scheduled           pod/web-imperative                     Successfully assigned dso202-practical-01/web-imperative to worker-node-2
58m         Normal    Pulled              pod/web-imperative                     Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
58m         Normal    Created             pod/web-imperative                     Container created
58m         Normal    Started             pod/web-imperative                     Container started
53m         Normal    Killing             pod/web-imperative                     Stopping container web-imperative
22m         Normal    Killing             pod/web-deployment-76ddf5fcf9-ftcmf    Stopping container web
22m         Normal    Started             pod/web-deployment-76ddf5fcf9-9c7fw    Container started
22m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-9c7fw
22m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-9c7fw    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-9c7fw to worker-node-2
22m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-9c7fw    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
22m         Normal    Created             pod/web-deployment-76ddf5fcf9-9c7fw    Container created
21m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-p57xz    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
21m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-76ddf5fcf9 from 3 to 5
21m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-9xwj7    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-9xwj7 to worker-node-2
21m         Normal    Pulled              pod/web-deployment-76ddf5fcf9-9xwj7    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
21m         Normal    Created             pod/web-deployment-76ddf5fcf9-9xwj7    Container created
21m         Normal    Started             pod/web-deployment-76ddf5fcf9-9xwj7    Container started
21m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-p57xz
21m         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-p57xz    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-p57xz to worker-node-1
21m         Normal    Created             pod/web-deployment-76ddf5fcf9-p57xz    Container created
21m         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-9xwj7
21m         Normal    Started             pod/web-deployment-76ddf5fcf9-p57xz    Container started
16m         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-ddd46bfd from 0 to 1
